time,theta,theta_dot
3.92,44.873699218156155,16.824853926735777
3.93,45.04328671207795,17.097296839984278
3.94,45.215726797506335,17.394189863313635
3.95,45.39122679715884,17.7079308187337
3.96,45.569913241513994,18.029989058905826
3.97,45.75182347181484,18.351095353276104
3.98,45.93689952395278,18.661508986750462
3.99,46.124985075907844,18.951362680544893
4.0,46.315826198336026,19.211075742510406
4.01,46.50907649391885,19.431814128503948
4.0200000000000005,46.704306939779045,19.605964722596777
4.03,46.901020373938685,19.727582533131613
4.04,47.09867013141869,19.79276606306682
4.05,47.296681899211315,19.799919532745925
4.0600000000000005,47.494477493410024,19.749871205095605
4.07,47.69149903205742,19.645833359041177
4.08,47.88723192731739,19.493208536369004
4.09,48.0812252599033,19.299264839623056
4.1,48.27310840011903,19.072716829715453
4.11,48.4626031469808,18.823255695461658
4.12,48.649531098869545,18.561072265096804
4.13,48.83381637780076,18.29641014578022
4.14,49.01548415294523,18.03917594840784
4.15,49.19465561954266,17.798621682979665
4.16,49.371540182890946,17.583103205869673
4.17,49.54642558861263,17.399909586630052
4.18,49.71966665606585,17.2551521649609
4.19,49.89167314147812,17.153698939815467
4.2,50.06289710913605,17.099139383192387
4.21,50.233820045703986,17.093766215411858
4.22,50.404939831389,17.13856352305466
4.23,50.576757593646605,17.233194351402716
4.24,50.74976442157164,17.37598519629325
4.25,50.924427916091865,17.563909392741937
4.26,51.10117859423017,17.792576020084624
4.2700000000000005,51.28039625420229,18.05623533566415
4.28,51.46239653775057,18.34781550046794
4.29,51.647418087667276,18.659007877988113
4.3,51.8356108758813,18.98041870514529
4.3100000000000005,52.02702644654273,19.30180260816574
4.32,52.221610947019954,19.61238755549685
4.33,52.41920187020755,19.901291132991737
4.34,52.619529367552154,20.158015006665202
4.3500000000000005,52.82222278745417,20.372989655966165
4.36,53.026822742748344,20.538127502410255
4.37,53.23279853795133,20.647332655123037
4.38,53.43957024837956,20.696912727033695
4.39,53.646534221417156,20.68584446415025
4.4,53.853090357125645,20.61586017645443
4.41,54.05866930032803,20.49134373862855
4.42,54.262757684401805,20.319048979267116
4.43,54.46491980630512,20.10767467182059
4.44,54.6648145343138,19.867344923430338
4.45,54.86220677332566,19.609049278647927
4.46,55.05697334528767,19.344093393696692
4.47,55.249103603443224,19.08360074543939
4.48,55.4386954345923,18.83809165545049
4.49,55.62594749188209,18.617151153662686
4.5,55.81114854953269,18.42918441432074
4.51,55.99466480836414,18.281249163337367
4.5200000000000005,56.176925844745064,18.178949056468923
4.53,56.35840972407213,18.12637028567449
4.54,56.53962762646707,18.12604490052581
4.55,56.72110818275914,18.17892773226353
4.5600000000000005,56.903381610977185,18.284378652410737
4.57,57.08696368889615,18.44014760004108
4.58,57.27233960282872,18.64236590108905
4.59,57.45994777849641,18.885553434715156
4.6000000000000005,57.65016392333639,19.1626566438237
4.61,57.84328568170729,19.46513652366802
4.62,58.0395185075899,19.783127619435586
4.63,58.23896356579352,20.105687641829274
4.64,58.44160864397893,20.42115156845813
4.65,58.64732314749717,20.717593490478937
4.66,58.85585820932726,20.98338435376138
4.67,59.06685274042964,21.207815802784836
4.68,59.279845857608365,21.38174263925228
4.69,59.49429557882469,21.49818303102982
4.7,59.70960303403946,21.55281065017135
4.71,59.92514080286359,21.54427916682526
4.72,60.14028347430709,21.474337225887044
4.73,60.35443823163403,21.347718365518094
4.74,60.56707325791847,21.17181995600657
4.75,60.77774203652269,20.95621179671295
4.76,60.98610212617414,20.71203308984261
4.7700000000000005,61.191927620685554,20.451343177190193
4.78,61.395115142701734,20.18648681476207
4.79,61.59568376825586,19.92952158609825
4.8,61.79376966863531,19.691737409017193
4.8100000000000005,61.98961646443497,19.48328009423592
4.82,62.183562327062106,19.312875726633536
4.83,62.37602477345549,19.18764202871718
4.84,62.56748392940751,19.112967290567667
4.8500000000000005,62.75846483423927,19.09243644458971
4.86,62.949519165896795,19.127786487953706
4.87,63.141206611867425,19.218878664084382
4.88,63.33407601863018,19.36368165673426
4.89,63.52864643284435,19.55826771672536
4.9,63.725388205673596,19.796831389568663
4.91,63.924704464417495,20.071747531591527
4.92,64.12691345086394,20.373690587943763
4.93,64.33223246009169,20.691839410165166
4.94,64.54076435010822,21.014189826732444
4.95,64.75248778159487,21.327989528780385
4.96,64.96725242876241,21.620296054995702
4.97,65.18478031803977,21.87863949783071
4.98,65.4046741581181,22.091749501984314
4.99,65.62643301387207,22.25028544391085
5.0,65.84947498778708,22.347494683053277
